Date,leveled log Nasdaq,leveled log S&P,leveled log Russell,leveled log DJIA,leveled log Gold,leveled log 1yr Treasury,leveled log 10yr Bond
3/13/1990,-0.391128411,-0.28377378,-0.168684943,-0.293468675,0.548817504,-0.35598955,-0.01323463
3/14/1990,-0.392346039,-0.29188884,-0.170033375,-0.293350414,0.552160038,-0.363678526,-0.022240679
3/15/1990,-0.390353512,-0.289502916,-0.165839016,-0.289117316,0.548846475,-0.363078526,-0.020885277
3/16/1990,-0.382216609,-0.286147005,-0.163256009,-0.280338572,0.552562544,-0.368441573,-0.028801264
3/19/1990,-0.382516609,-0.275052444,-0.157753861,-0.278482815,0.557384674,-0.365452086,-0.028601264
3/20/1990,-0.376478837,-0.270525559,-0.156228672,-0.268000231,0.55596255,-0.364852086,-0.034238992
3/21/1990,-0.384934764,-0.276447343,-0.158049492,-0.270841013,0.528090296,-0.36305948,-0.032868717
3/22/1990,-0.386145082,-0.28201941,-0.158471197,-0.280044442,0.533799392,-0.370837745,-0.035010638
3/23/1990,-0.393528411,-0.294211879,-0.167946134,-0.286160467,0.536935165,-0.373850031,-0.035983659
3/26/1990,-0.387656299,-0.289864461,-0.162853364,-0.281306597,0.499495618,-0.372044485,-0.036958057
3/27/1990,-0.390466228,-0.288849364,-0.161992793,-0.286427669,0.473827102,-0.365438461,-0.035583659
3/28/1990,-0.392366805,-0.277652321,-0.160706791,-0.276702292,0.483082386,-0.367236544,-0.036558057
3/29/1990,-0.394499119,-0.276389263,-0.162714923,-0.275681628,0.475927981,-0.363041573,-0.025837797
3/30/1990,-0.398243834,-0.280133522,-0.165337595,-0.27953048,0.479531344,-0.363638461,-0.019840679
4/2/1990,-0.405700753,-0.282830863,-0.164292188,-0.295232772,0.467882938,-0.364236784,-0.019640679
4/3/1990,-0.398843834,-0.286685205,-0.172507123,-0.287509977,0.48589255,-0.366037745,-0.021755495
4/4/1990,-0.391124545,-0.272405359,-0.166360025,-0.275402184,0.484124023,-0.371465491,-0.030868717
4/5/1990,-0.402392735,-0.28005364,-0.170031901,-0.28073048,0.494058711,-0.369657032,-0.028332267
4/6/1990,-0.403662272,-0.281309593,-0.170761814,-0.281691015,0.499691881,-0.371475412,-0.02929981
4/9/1990,-0.409520401,-0.283419154,-0.173460702,-0.286214595,0.495440348,-0.367250031,-0.025601264
4/10/1990,-0.411214791,-0.279833082,-0.179442523,-0.284856917,0.485725706,-0.366650031,-0.024237797
4/11/1990,-0.405486473,-0.277984585,-0.176897626,-0.280856028,0.482223141,-0.367257032,-0.020555495
4/12/1990,-0.400024096,-0.27862317,-0.175654845,-0.279010759,0.484992471,-0.365450031,-0.019197417
4/16/1990,-0.392768278,-0.27177047,-0.173491279,-0.264431842,0.482202141,-0.364850031,-0.014378471
4/17/1990,-0.403155466,-0.270809519,-0.174037406,-0.273373038,0.480654647,-0.353452086,-0.003863194
4/18/1990,-0.400005204,-0.27118357,-0.176061644,-0.266167403,0.482625706,-0.339811,0.006546765
4/19/1990,-0.412549755,-0.282938971,-0.181614281,-0.286988197,0.487383616,-0.342750826,0.007874796
4/20/1990,-0.414012681,-0.29088788,-0.185576469,-0.289363214,0.487614543,-0.344517691,0.017053532
4/23/1990,-0.429082655,-0.299911338,-0.190613715,-0.299518462,0.484257859,-0.336833837,0.020599882
4/24/1990,-0.433405811,-0.312330615,-0.200771623,-0.303768483,0.490061912,-0.330368717,0.023024577
4/25/1990,-0.437745289,-0.314617076,-0.201955406,-0.308462369,0.48139255,-0.327432267,0.024335072
4/26/1990,-0.434005811,-0.309774677,-0.200425522,-0.3025185,0.471845014,-0.318697417,0.031172264
4/27/1990,-0.436917722,-0.30729774,-0.20015835,-0.301807043,0.471679649,-0.326232267,0.03026912
4/30/1990,-0.444615456,-0.319008004,-0.206271573,-0.318113726,0.471783445,-0.324466087,0.028259174
5/1/1990,-0.434194686,-0.314086073,-0.204735534,-0.307043209,0.464461134,-0.32619981,0.032874193
5/2/1990,-0.432600774,-0.309912302,-0.202445407,-0.307088438,0.468353445,-0.317455495,0.034174908
5/3/1990,-0.427710831,-0.30342288,-0.198841397,-0.296144806,0.464403066,-0.318014915,0.028859174
5/4/1990,-0.422379671,-0.300339661,-0.195440286,-0.294109977,0.470179649,-0.339703228,0.006686877
5/7/1990,-0.418244053,-0.292200879,-0.191429342,-0.293080267,0.470821585,-0.337917691,0.010274796
5/8/1990,-0.414359904,-0.286096776,-0.189674086,-0.288982815,0.471462635,-0.342068294,0.007086877
5/9/1990,-0.41396428,-0.281959994,-0.188916983,-0.288291015,0.464691866,-0.341468294,0.011801557
5/10/1990,-0.41333751,-0.279648648,-0.188223046,-0.285369259,0.467902063,-0.349236544,0.00522187
5/11/1990,-0.407404055,-0.277081715,-0.18468097,-0.278199046,0.460162055,-0.363147077,-0.015197417
